id,text,aspect_term,aspect_term_polarity,aspect_term_from,aspect_term_to
1414,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,negative,4,12
,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,negative,32,40
664,and if u did.,,,,
2484,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",,,,
903,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,negative,71,78
1609,It was definelty a smart move.,,,,
2354,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,,,,
2979,Apparently they are defective since they are not securely attached.,,,,
1759,but other then that I would give this product a 4 in hafe stars.,,,,
975,Sure hope Best Buy will replace it asap.,,,,
2931,I babyed the heck out of it and i still do.,,,,
2700,Handles all my basic media needs easily.,,,,
1482,Just what the doctor ordered.,,,,
1602,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,positive,62,66
1233,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,,,,
2231,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance,neutral,40,51
,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,positive,79,84
,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,positive,110,114
,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,positive,122,134
2828,Excellent speed for processing data.,speed,positive,10,15
121,"All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole.",,,,
2744,I am not happy at all with the product I purchased.,,,,
1824,When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,negative,14,26
2460,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,positive,118,124
,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,positive,22,25
2500,I was taught to use Photoshop and was amazed.,Photoshop,positive,20,29
600,It's A MAC!!,,,,
497,It was weird.,,,,
241,I can hardly wait to see whats around the next corner.,,,,
557,the apple pro notebook will not let you down.,,,,
531,"I did a review on it, its awesome.",,,,
1367,"  Before we got this laptop, had a compaq pasaro for 5 years with no problems.",,,,
2094,I tried out another Mac for a few months before buying this one and it is a great machine.,,,,
1252,Somehow the system clock got messed up after reboot.,system clock,negative,12,24
3007,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,negative,43,46
1650,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,positive,39,55
1229,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,,,,
399,I visited the Apple Store and was impressed with the 17-inch MacBook Pro.,,,,
1037,"The driver updates don't fix the issue, very frustrating.",driver updates,negative,4,18
1620,I will never go back to Windows!,Windows,negative,24,31
1035,Do your research on this issue.,,,,
201,"Looking to take my video and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop.",,,,
285,It doesnt work worth a damn.,work,negative,10,14
1260,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",,,,
3035,It works really well.,works,positive,3,8
840,It has happened again and I'm being told that it's $175.,,,,
2511,"Bigger HD, better graphics card, and a bid HD.",HD,positive,7,9
,"Bigger HD, better graphics card, and a bid HD.",HD,positive,43,45
,"Bigger HD, better graphics card, and a bid HD.",graphics card,positive,18,31
895,Lord HAVE MERCY!,,,,
2275,The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,positive,4,19
1342,No big deal.,,,,
1124,"Mine came at $1,700 w/o a DVD burner (!).",DVD burner,negative,26,36
781,The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,negative,4,14
2987,It works fine with our wireless and they've had not problems.,works,positive,3,8
2133,But you must get the 15 inch.,15 inch,positive,21,28
131,i will be returning it and switching brands when i get to best buy.,,,,
1364,Product support very poor as each phone call costs me long distan,Product support,negative,0,15
2787,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,positive,46,52
,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",use,positive,37,40
948,  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,negative,6,30
2049,It does not keep internet signals no matter where you bring it.,internet signals,negative,17,33
558,apple is one of the best computer companies in the country.,,,,
1059,PLEASE MAKE THESE!,,,,
767,Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,,,,
1990,"After the first few months, the computer started crashing about every week.",,,,
2366,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",,,,
2988,It's a great product for a great price!,price,positive,33,38
1385,"Again, the same problem, the right speaker did not work.",right speaker,negative,29,42
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,price tag,conflict,64,73
,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,positive,101,109
,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,positive,170,177
88,"Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to Apple for reliability, dependable, and long lasting operations.",,,,
1270,Dell wanted to charge us for everything everytime I called them with a problem.,,,,
1834,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.,,,,
1451,i have had my dell latitude for almost three years.,,,,
55,May be better for the occasional web surfer.,,,,
2505,and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer,positive,8,28
768,This was the 3rd day and part still had not been shipped.,shipped,negative,49,56
2559,Obviously we both got new Macs.,,,,
242,"My Iphone synced right up just like a person would expect, unlike the PCs in our lives.",,,,
2998,That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.,,,,
2341,"It's fun to take to a bookstore, sit in the coffee shop area, sign in to WiFi and look up book reviews of books I might buy.",,,,
2908,"Not super fancy, but not super expensive either.",,,,
214,Keyboard good sized and wasy to use.,Keyboard,positive,0,8
,Keyboard good sized and wasy to use.,use,positive,32,35
1263,HP said it was out of warranty.,warranty,neutral,22,30
650,"-Stay away from Apple, or hope you laptop does not break down.",,,,
2703,It's a great prodcut to handle basic computing needs.,,,,
142,"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,negative,25,32
2947,wonderful features.,features,positive,10,18
66,the laptop was really good and it goes really fast just the way i thought it would of run.,,,,
2020,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,negative,31,44
2451,Im glad that it has such great features in it.,features,positive,31,39
605,it's just a great toy to have around.,,,,
314,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,positive,13,21
,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office,negative,34,40
,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office programs,neutral,106,121
2777,Great wifi too.,wifi,positive,6,10
1085,"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",TYPING,negative,5,11
1906,"  Only a few days after I received the computer back, the screen froze again.",screen,negative,58,64
124,It is not ideal for children because of the temp.,temp,negative,44,48
2816,"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",,,,
1900,  When this happened I would have to completely power off my computer and restart it.,,,,
732,Although i do believe that Windows operating system may be to fault for some of the problems.,Windows operating system,negative,27,51
3011,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,positive,6,8
,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,positive,68,83
,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,positive,99,115
485,I or my dad paid over twenty four hundred dollars for everything.,,,,
1842,  The lcd screen stopped working on mine after 10 months.,lcd screen,negative,6,16
238,That includes transferring my music and movies.,,,,
205,Images are crisp and clean.,Images,positive,0,6
1955,"Took that one home, same thing.",,,,
1160,I'm going back to PC.,,,,
2989,"Great, quick laptop for the money.",,,,
1398,although its windows vista compared to windows xp sucks.,windows vista,negative,13,26
,although its windows vista compared to windows xp sucks.,windows xp,positive,39,49
1372,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,negative,37,42
,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,negative,52,70
,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Internet Explore,negative,129,145
,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Windows update,negative,215,229
,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,negative,326,332
467,The Dell mini was the first Dell product that I had ever purchased.,,,,
1400,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,negative,9,15
,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,negative,102,108
47,My Mac has gone from being a trusted friend to an adversary.,,,,
1066,"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",4GB stick of RAM,positive,51,67
1607,"By week two, my laptop had overheated and was completely dead even though I did not use it too much.",,,,
910,And it is impossible to get them back in.,,,,
2379,My last laptop gave me a constant battle even though it was also completely new.,,,,
361,I have been a mac user since the mid 90s.,,,,
344,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,negative,39,47
,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,touch control buttons,negative,71,92
,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,negative,100,108
1368,  After the bad experience with this computer went back to compaq.,,,,
2038,Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.,,,,
1673,It doesn't heat up like my old laptop.,,,,
2871,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,positive,98,109
2530,It's solid.,,,,
1603,"Before I got my macbook, I owned a Dell laptop.",,,,
381,This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.,,,,
312,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,positive,53,67
,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,positive,88,94
,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,positive,96,102
,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,positive,104,108
,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,positive,110,116
,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,positive,118,128
,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,positive,13,17
2795,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,negative,51,63
1865,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,neutral,74,78
,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,neutral,80,88
,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,neutral,99,107
1681,I don't know how I could ever live without my Qousmio.,,,,
2973,"It has plenty of memory, lots of hard drive, and great graphics.",memory,positive,17,23
,"It has plenty of memory, lots of hard drive, and great graphics.",hard drive,positive,33,43
,"It has plenty of memory, lots of hard drive, and great graphics.",graphics,positive,55,63
2612,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,positive,64,72
,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,navigation,positive,77,87
1864,"  It lasted for many years of travel, kids and abuse and if I fired it up today, it would work.",,,,
2629,"been a PC user for many, many years.",,,,
2207,"I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.",,,,
249,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.",,,,
1283,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,negative,51,56
,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",LCD,neutral,100,103
1423,My problem was with DELL Customer Service.,DELL Customer Service,negative,20,41
288,"There are so many things wrong with this product, it just makes me want to set my self on fire!",,,,
256,"It is not even a year old yet, so I would definitely not recommend it to anyone.",,,,
2280,Amazing machine.,,,,
322,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",,,,
1072,"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service,positive,9,20
2826,I'm very impressed.,,,,
1390,Dell sucks,,,,
1739,Design: very durable.,Design,positive,0,6
2419,It is easy to go from one keyboard to another.,keyboard,neutral,26,34
785,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,,,,
82,The Mac Book Pro performs flawlessly.,,,,
1549,Has a 5-6 hour battery life.,battery life,neutral,15,27
2086,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,negative,27,50
,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,negative,78,88
300,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,neutral,94,106
,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,neutral,6,17
,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Final Cut Pro 7,neutral,19,34
,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Photoshop,neutral,36,45
,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Safari,neutral,47,53
,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,neutral,55,62
,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,neutral,64,77
262,I have owned many computers and laptops.,,,,
2521,I recently purchased the mini and absolutely love it!,,,,
2284,Does a great job with video shot on a Canon 5D MKII.,,,,
851,"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,negative,131,139
1008,Ive had to call tech support many times.,tech support,neutral,16,28
2261,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications,positive,4,22
,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,positive,27,33
2793,"Yes, I have it on the highest available setting.",,,,
291,Not to mention it has shit gigs.,gigs,negative,27,31
1185,Hieroglyphics are quite common.,,,,
1719,This worked just fine.,,,,
391,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,neutral,17,23
,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",17-inch screen,neutral,32,46
,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",DVD,positive,79,82
,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",CD burners,positive,87,97
1595,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,positive,66,78
,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",uploading photos,positive,80,96
,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,positive,98,113
,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",creating presentations,positive,137,159
1150,I was so happy with my new Mac.,,,,
2362,"Quality Display  I love HP,, it's the only computer/printer we will buy.",Quality Display,positive,0,15
116,"Despite the inconvenient weight, I opted for the 12 cell battery.",weight,conflict,25,31
,"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery,positive,49,64
2119,My MacBook is faster than any comparable PC.,,,,
2647,The case is carved out of a single block of aluminum.,case,neutral,4,8
2108,I'm very happy with this machine!,,,,
789,I do not recommend this company or their products!!!!,,,,
570,I like this machine because its very lightweight...,,,,
980,     First it burned or fused the power adapter plug.,power adapter plug,negative,34,52
668,"the features are great, the only thing it needs is better speakers.",features,positive,4,12
,"the features are great, the only thing it needs is better speakers.",speakers,negative,58,66
1106,"It was still working, but there was nothing on the screen.",screen,negative,51,57
140,I bought this laptop and found its TAB is not functioning.,TAB,negative,35,38
1418,  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,negative,47,64
539,HP said I had done the damage.,,,,
621,"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",TFT panel,negative,45,54
2360,"Navigation through the computer is far superior compared to Windows operating systems, as well.",Navigation,positive,0,10
,"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,negative,60,85
2397,I would recommend this product.,,,,
2449,"If I had to buy another computer, I would most definetly buy an acer one computer.",,,,
1126,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,negative,4,10
,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,negative,95,106
,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,negative,125,129
1745,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,negative,31,45
,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,positive,85,93
,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,negative,11,18
,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,negative,20,25
2205,I previously owned an HP desktop and a Dell laptop.,,,,
1065,Everything else just install and go.,,,,
987,  This thing is a lemon.,,,,
363,My laptop is almost 2yrs old and I have never had any problems with it.,,,,
1276,All the customers that come in hate Dell.,,,,
2911,"We now own two of these, identical.",,,,
2714,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,,,,
2900,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",,,,
2177,"Once you go Mac, you can't go back!",,,,
164,"I brought this laptop last friday, and originally it worked fantastic.",,,,
39,The much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,negative,16,46
3019,"The Unibody construction is solid, sleek and beautiful.",Unibody construction,positive,4,24
1517,"They're easy, fun, powerful and will last a long time.",,,,
1090,I WANT MY L505-s5988 BACK!,,,,
1678,"I let my friend borrow it, and she knows nothing about computers, and she used it with ease.",,,,
2469,This MacBook is an outstanding product with great value.,value,positive,50,55
2429,"If that is the case for you, I would suggest a pull-behind solution when looking at cases.",,,,
1986,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,negative,20,27
,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,negative,95,108
1088,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,negative,30,37
,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,STORAGE LIFE,conflict,70,82
,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,negative,140,147
678,and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,positive,14,21
,and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,neutral,69,72
417,"I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.",,,,
625,"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset,negative,101,115
2035,I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,extended warranty,neutral,83,100
636,I respond that I do not have the old computer...,,,,
1808,I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.,,,,
1921,"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,negative,0,8
1872,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,negative,30,41
1413,"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,negative,21,25
,"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,negative,30,41
369,I work with kids and they love making short videos on there.,,,,
321,"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",,,,
2636,"the key bindings take a little getting used to, but have loved the Macbook Pro.",key bindings,negative,4,16
357,Keyboard is reasonable size.,Keyboard,positive,0,8
,Keyboard is reasonable size.,size,positive,23,27
1230,Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,,,,
1006,I'm now trying to decide on another Dell model.,,,,
3075,I find myself using the 10-key more than I thought I would.,10-key,positive,24,30
216,The Macbook is a fantastic laptop.,,,,
3045,Fan noise: The fan made a constant hissing noise in the background.,Fan,negative,0,3
,Fan noise: The fan made a constant hissing noise in the background.,fan,negative,15,18
1688,"I believe this is because I was more active than the average user, meaning I average about three ""tabs"".",,,,
2098,Best Buy Rocks!,,,,
1877,A couple things you should know:,,,,
129,"bought the first asus laptop in san francisco, returned it in santa maria, thinking it was just a problem with that computer.",,,,
235,"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,positive,4,10
,"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,positive,36,52
3055,It has a .1 ghz faster processor and a stock 500gb hard drive.,processor,positive,23,32
,It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,positive,45,61
2865,The feature are good enough for what I need.,feature,positive,4,11
1300,All the yada-yada.,,,,
1197,"Finally, the biggest problem has been tech support.",tech support,negative,38,50
2538,this laptop is great for work and doing my pictures.,,,,
1403,I had the computer for a full year and it was a new computer.,,,,
2676,""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,negative,92,102
75,I love it!,,,,
2319,With Windows laptops a wireless mouse is an absolute must.,wireless mouse,neutral,23,37
452,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,positive,57,61
,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,positive,74,80
,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,neutral,14,21
,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,neutral,22,27
2498,But if you're willing to pay another 200 dollar for a windows disc.,windows disc,neutral,54,66
2515,Very good quality and well made.,quality,positive,10,17
2320,"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,positive,86,94
2051,"When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.",,,,
1017,Two of the times was in one month.,,,,
971,"So needless to day, I'm not happy.",,,,
3083,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,neutral,102,112
1687,"Although I was promised about 10 hours, I found myself to a limited 7 hours (which is still amazing).",,,,
2593,It had the full sized touch pad with 2 buttons instead of just one.,touch pad,neutral,22,31
1507,It was also cheaper than the Pro which made it even more appealing to me.,,,,
336,"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,neutral,65,79
2391,Consumer Report recommended Toshiba.,,,,
786,Needless to say I told them No and have a nice day and hung up!,,,,
1616,It was super easy to set up and Is really easy to get used to.,set up,positive,21,27
1062,"The only thing that can be updated is the video, other than that you're all set.",video,negative,42,47
1982,It wasn't worth it.,,,,
2704,Its a good laptop for its value.,value,positive,26,31
2930,ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke.,,,,
343,Probbly the worst decision we ever made!,,,,
1152,Then the hard drive failed;,hard drive,negative,9,19
1868,  This computer literally takes about five minutes to start up and to be able to use without it crawling and I DO mean crawling.,,,,
1353,I had less problems.,,,,
977,It will be returned in the state to which it was shipped Michigan.,,,,
2747,"Plain and simple, it(laptop) runs great and loads fast.",runs,positive,29,33
,"Plain and simple, it(laptop) runs great and loads fast.",loads,positive,44,49
2102,This machine rocks!,,,,
967,of course my warranty runs out next month.,warranty,neutral,13,21
1774,My next laptop will also be a Mac!,,,,
1685,But not in this case.,,,,
932,"taking notes, research, an online class and such and didn't want to spend too much on my first machine.",,,,
2501,The capabilities using that program alone made me want a Mac.,program,positive,28,35
1873,"When I got this laptop in 2007 to help me with school, I had a hard time from beginning.",,,,
1753,I do not know for sure.,,,,
892,No machine has come remotely close to causing as many problems.,,,,
1241,Every single one we've gotten we've had problems with.,,,,
135,it is the worst computer dell ever made.,,,,
1801,"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,neutral,124,139
,"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,negative,21,39
2902,"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,positive,56,80
2062,About 1/2 of the sites I need to visit because of my work contain some type of Flash.,,,,
2656,This is a great value for the money.,value,positive,16,21
652,"It was a great laptop, ran great and was really fast.",ran,positive,23,26
170,The battery has never worked well.,battery,negative,4,11
665,return it.,,,,
787,I can guarantee this will be the last Dell I will ever purchase!,,,,
